##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
intrepidness	pos: noun The quality of mind enabling one to face danger or hardship resolutely: braveness, bravery, courage, courageousness, dauntlessness, doughtiness, fearlessness, fortitude, gallantry, gameness, heart, intrepidity, mettle, nerve, pluck, pluckiness, spirit, stoutheartedness, undauntedness, valiance, valiancy, valiantness, valor.  spunk, spunkiness.  gut (used in plural), gutsiness, moxie. 
intricacy	pos: noun Something complex: complexity, complication. 
intricate	pos: adjective 1. Complexly detailed: complicated, elaborate, fancy. 2. Difficult to understand because of intricacy: byzantine, complex, complicated, convoluted, daedal, Daedalian, elaborate, involute, involved, knotty, labyrinthine, tangled. 
intrigue	pos: noun A secret plan to achieve an evil or illegal end: cabal, collusion, connivance, conspiracy, machination, plot, scheme. pos: verb l. To work out a secret plan to achieve an evil or illegal end: collude, connive, conspire, machinate, plot, scheme. 2. To arouse the interest and attention of: attract, interest.  turn on. 
intrinsic	pos: adjective Forming an essential element, as arising from the basic structure of an individual: built-in, congenital, connatural, constitutional, elemental, inborn, inbred, indigenous, indwelling, ingrained, inherent, innate, native, natural. 
introduce	pos: verb 1. To make known socially: acquaint, present. 2. To make known the presence or arrival of: announce, herald, proclaim, usher in. 3. To put forward (a topic) for discussion: bring up, broach, moot, put forth, raise. 4. To bring into currency, use, fashion, or practice: launch, originate. 5. To put or set into, between, or among another or other things: inject, insert, interject, interlard, interpolate, interpose. 6. To begin (something) with preliminary or prefatory material: lead, precede, preface, usher in. 
introduction	pos: noun 1. The state of being allowed entry: admission, admittance, entrance, ingress, ingression, intromission. 2. A short section of preliminary remarks: foreword, induction, lead-in, overture, preamble, preface, prelude, prolegomenon, prologue. 
introductory	pos: adjective 1. Of, relating to, or occurring at the start of something: beginning, inceptive, incipient, initial, initiatory, leadoff. 2. Before or in preparation for the main matter, action, or business: inductive, prefatory, preliminary, preparatory, prolegomenous. 3. Serving to introduce a subject or person, for example: prefatory, preliminary, preparatory, prolegomenous. 
intromission	pos: noun The state of being allowed entry: admission, admittance, entrance, ingress, ingression, introduction. 
intromit	pos: verb To serve as a means of entrance for: admit, let in. 
intrude	pos: verb To force or come in as an improper or unwanted element: cut in, horn in, obtrude. 
intrusion	pos: noun 1. The act or an instance of interfering or intruding: interference, intervention, meddling, obtrusion. 2. An advance beyond proper or legal limits: encroachment, entrenchment, impingement, infringement, obtrusion, trespass. 3. An excessive, unwelcome burden: imposition, infliction. 
intrusive	pos: adjective 1. Troubling to the mind or emotions: disquieting, disruptive, distressful, distressing, disturbing, perturbing, troublesome, troublous, unsettling, upsetting, worrisome. 2. Given to intruding in other people's affairs: interfering, meddlesome, meddling, obtrusive, officious. 
intrust	pos: verb 
intuit	pos: verb To be intuitively aware of: apprehend, feel, perceive, sense.  feel in one's bones, get vibrations. 
intuition	pos: noun 1. Intuitive cognition: feeling, hunch, idea, impression, suspicion. 2. The power to discern the true nature of a person or situation: insight, instinct, intuitiveness, penetration, sixth sense. 
intuitive	pos: adjective Derived from or prompted by a natural tendency or impulse: instinctive, instinctual, visceral. 
intuitiveness	pos: noun The power to discern the true nature of a person or situation: insight, instinct, intuition, penetration, sixth sense. 
inundate	pos: verb 1. To flow over completely: deluge, drown, engulf, flood, flush, overflow, overwhelm, submerge, whelm. 2. To affect as if by an outpouring of water: deluge, flood, overwhelm, swamp, whelm. 
inundation	pos: noun An abundant, usually overwhelming flow or fall, as of a river or rain: alluvion, cataclysm, cataract, deluge, downpour, flood, freshet, Niagara, overflow, torrent.  spate. 
inure	pos: verb To make familiar through constant practice or use: accustom, condition, habituate, wont. 
inutile	pos: adjective 1. Having no useful purpose: ineffectual, unusable, useless, worthless. 2. Lacking all worth and value: drossy, good-for-nothing, no-good, nothing, valueless, worthless.  no-account. 
invade	pos: verb To enter so as to attack, plunder, destroy, or conquer: foray, overrun, raid. 
invalid	pos: adjective Containing fundamental errors in reasoning: fallacious, false, illogical, sophistic, specious, spurious, unsound. 
invalidate	pos: verb To put an end to, especially formally and with authority: abolish, abrogate, annihilate, annul, cancel, negate, nullify, set aside, vitiate, void.  extinguish. 
invalidation	pos: noun An often formal act of putting an end to: abolishment, abolition, abrogation, annihilation, annulment, cancellation, defeasance, negation, nullification, voidance.  avoidance, extinguishment. 
invaluable	pos: adjective Of great value: costly, inestimable, precious, priceless, valuable, worthy.  beyond price, of great price. 
invariable	pos: adjective 1. Having no change or variation: changeless, constant, equable, even, invariant, regular, same, steady, unchanging, uniform, unvarying. 2. Remaining continually unchanged: changeless, consistent, constant, same, unchanging, unfailing. 3. Incapable of changing or being modified: immutable, inalterable, inflexible, ironclad, rigid, unalterable, unchangeable. 
invariant	pos: adjective Having no change or variation: changeless, constant, equable, even, invariable, regular, same, steady, unchanging, uniform, unvarying. 
invasion	pos: noun An act of invading, especially by military forces: foray, incursion, inroad, raid. 
invective	pos: noun Harsh, often insulting language: abuse, billingsgate, contumely, obloquy, railing, revile-ment, reviling, scurrility, scurrilousness, vituperation. pos: adjective Of, relating to, or characterized by verbal abuse: abusive, contumelious, opprobrious, scurrilous, vituperative. 
inveigh	pos: verb To express opposition, often by argument: challenge, demur, except, expostulate, object, protest, remonstrate.  kick, squawk.  set up a squawk, take exception. 
inveigle	pos: verb To beguile or draw into a wrong or foolish course of action: allure, entice, lure, seduce, tempt.  lead astray. 
inveiglement	pos: noun Something that attracts, especially with the promise of pleasure or reward: allurement, bait, come-on, enticement, inducement, invitation, lure, seduction, temptation. 
inveigler	pos: noun One that seduces: allurer, charmer, enticer, lurer, seducer, tempter. 
inveigling	pos: adjective Tending to seduce: alluring, bewitching, come-hither, enticing, inviting, luring, seductive, siren, tempting, witching. 
invent	pos: verb To use ingenuity in making, developing, or achieving: concoct, contrive, devise, dream up, fabricate, formulate, hatch, make up, think up.  cook up.  come up with. 
invented	pos: adjective Consisting or suggestive of fiction: fanciful, fantastic, fantastical, fictional, fictitious, fictive, made-up. 
invention	pos: noun 1. The power or ability to invent: creativeness, creativity, ingeniousness, ingenuity, inventiveness, originality. 2. Something invented: brainchild, contrivance, device. 3. Any fictitious idea accepted as part of an ideology by an uncritical group; a received idea: creation, fantasy, fiction, figment, myth. 
inventive	pos: adjective 1. Characterized by or productive of new things or new ideas: creative, ingenious, innovative, innovatory, original. 2. Not the same as what was previously known or done: different, fresh, innovative, new, newfangled, novel, original, unfamiliar, unprecedented. 3. Able to use the means at one's disposal to meet situations effectively: ingenious, resourceful. 
inventiveness	pos: noun The power or ability to invent: creativeness, creativity, ingeniousness, ingenuity, invention, originality. 
inventor	pos: noun One that creates, founds, or originates: architect, author, creator, entrepreneur, father, founder, maker, originator, parent, patriarch. 
inventory	pos: noun A supply stored or hidden for future use: backlog, cache, hoard, nest egg, reserve, reservoir, stock, stockpile, store, treasure.  stash. 
inveracity	pos: noun 1. The practice of lying: falsehood, mendacity, perjury, truthlessness, untruthfulness. 2. An untrue declaration: canard, cock-and-bull story, falsehood, falsity, fib, fiction, lie, misrepresentation, misstatement, prevarication, story, tale, untruth.  fish story, tall tale.  whopper. 
inversion	pos: noun The act of changing or being changed from one position, direction, or course to the opposite: reversal, transposition, turnabout, turnaround. 
invert	pos: verb To change to the opposite position, direction, or course: reverse, transpose, turn (about, around, over,  round). 
